Vitest total (sum of file durations): 32908 ms (32.9s)
Files: 164 | Tests parsed: 1060

=== Top 30 files by duration ===
file	duration_ms	num_tests	status
/Users/leobsn/Desktop/houston_project/apps/web/src/features/action-plans/pages/action-plan-create-page.test.tsx	ActionPlanCreatePage selects pilot pole via pill wheel and submits with pilot_business_unit_id	156.06733400000007	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/action-plans/components/action-plan-task-draft-editor.test.tsx	ActionPlanTaskDraftEditor shows pole picker for non cross-pole users	153.88766599999997	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/comments/comment-composer.test.tsx	CommentComposer shows a removable mention chip and omits removed ids from submit payload	152.81174999999996	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/onboarding/components/director-invite-card.test.tsx	DirectorInviteCard shows the exact success message and fallback link after invite	144.66379199999994	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/action-plans/pages/action-plan-execution-detail-page.test.tsx	ActionPlanExecutionDetailPage tabs shows Détails tab by default and does not mount CommentSection	141.088708	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/auth/pages/select-establishment-page.test.tsx	SelectEstablishmentPage switches establishment and navigates to reporting on success	137.632792	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/observations/components/report-inline-mic-button.test.tsx	ReportInlineMicButton starts recording on click when idle	129.86766699999998	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/signals/components/signal-feed-classification-filter-tree.test.tsx	SignalFeedClassificationFilterTree accordion keeps all accordions closed by default	129.3812089999999	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/notifications/notifications-center-page.test.tsx	NotificationsCenterPage shows loading label while unread count is unknown	123.59983399999999	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/chat/pages/chat-page.test.tsx	ChatPage flat conversation list renders mixed conversations in API order without sections	121.35537499999998	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/components/ui/input.test.tsx	Input uses mobile-safe font size classes to prevent iOS focus zoom	120.45358299999998	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/components/ui/terrain/terrain-collapsible-feed-section.test.tsx	TerrainCollapsibleFeedSection shows ChevronUp and children when expanded	119.890625	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/auth/pages/team-member-detail-page.test.tsx	TeamMemberDetailPage renders member information and scopes	119.41333399999996	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/action-plans/components/action-plan-use-sheet.test.tsx	ActionPlanUseSheet resets local state when closed and reopened	117.47258299999999	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/components/ui/textarea.test.tsx	Textarea uses mobile-safe font size classes to prevent iOS focus zoom	115.09179200000005	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/signals/components/signal-linked-action-plans-section.test.tsx	SignalLinkedActionPlansSection calls onSelect with execution id on card click	112.73283300000003	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/comments/components/comment-thread-item.test.tsx	ActionCommentThreadCard reply composer keeps reply composer open when submission does not succeed	112.19604200000003	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/action-plans/pages/action-plan-create-page.test.tsx	ActionPlanCreatePage creates per-assignee plan with one atomic create call and hides secondary assignee buttons	110.8232079999998	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/action-plans/components/action-plan-task-detail-layout.test.tsx	ActionPlanTaskDetailLayout renders title row, description, then meta and deadline below a separator	110.57241700000003	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/features/chat/hooks/use-chat-websocket.test.ts	useChatWebSocket ignores stale socket onclose without breaking the active connection	108.57454200000029	passed
/Users/leobsn/Desktop/houston_project/apps/web/src/components/layout/bottom-mobile-nav.test.tsx	BottomMobileNav renders above sticky page footers via z-index	107.90304099999992	passed
